"clase","nombre_calse"
"503238                                                                                                                                                                                                                                                          ","Arándanos Huckleberry secos                                                                                                                                                                                                                                     "
"503239                                                                                                                                                                                                                                                          ","Kiwis secos                                                                                                                                                                                                                                                     "
"503240                                                                                                                                                                                                                                                          ","Naranjos Chinos (kumquats) secos                                                                                                                                                                                                                                "
"503241                                                                                                                                                                                                                                                          ","Limones secos                                                                                                                                                                                                                                                   "
"503242                                                                                                                                                                                                                                                          ","Limas secas                                                                                                                                                                                                                                                     "
"503243                                                                                                                                                                                                                                                          ","Nísperos secos                                                                                                                                                                                                                                                  "
"503244                                                                                                                                                                                                                                                          ","Mandarinas secas                                                                                                                                                                                                                                                "
"503245                                                                                                                                                                                                                                                          ","Mangos secos                                                                                                                                                                                                                                                    "
"503246                                                                                                                                                                                                                                                          ","Melones secos                                                                                                                                                                                                                                                   "
"503247                                                                                                                                                                                                                                                          ","Moras mulberry secas                                                                                                                                                                                                                                            "
"503248                                                                                                                                                                                                                                                          ","Mirtos secos                                                                                                                                                                                                                                                    "
"503249                                                                                                                                                                                                                                                          ","Nectarinas secos                                                                                                                                                                                                                                                "
"503250                                                                                                                                                                                                                                                          ","Naranjas secas                                                                                                                                                                                                                                                  "
"503251                                                                                                                                                                                                                                                          ","Papayas secas                                                                                                                                                                                                                                                   "
"503252                                                                                                                                                                                                                                                          ","Maracuyás secas                                                                                                                                                                                                                                                 "
"503253                                                                                                                                                                                                                                                          ","Duraznos secos                                                                                                                                                                                                                                                  "
"503254                                                                                                                                                                                                                                                          ","Peras secas                                                                                                                                                                                                                                                     "
"503255                                                                                                                                                                                                                                                          ","Caquis secos                                                                                                                                                                                                                                                    "
"503256                                                                                                                                                                                                                                                          ","Piñas secas                                                                                                                                                                                                                                                     "
"503257                                                                                                                                                                                                                                                          ","Ciruelos Damascos secos                                                                                                                                                                                                                                         "
"503258                                                                                                                                                                                                                                                          ","Ciruelas secas                                                                                                                                                                                                                                                  "
"503259                                                                                                                                                                                                                                                          ","Granadas secas                                                                                                                                                                                                                                                  "
"503260                                                                                                                                                                                                                                                          ","Pomelos secos                                                                                                                                                                                                                                                   "
"503261                                                                                                                                                                                                                                                          ","Membrillos secos                                                                                                                                                                                                                                                "
"503262                                                                                                                                                                                                                                                          ","Frambuesas secas                                                                                                                                                                                                                                                "
"503263                                                                                                                                                                                                                                                          ","Ruibarbos secos                                                                                                                                                                                                                                                 "
"503264                                                                                                                                                                                                                                                          ","Escaramujos secos                                                                                                                                                                                                                                               "
"503265                                                                                                                                                                                                                                                          ","Sapotes secos                                                                                                                                                                                                                                                   "
"503266                                                                                                                                                                                                                                                          ","Bayas saskatoon secas                                                                                                                                                                                                                                           "
"503267                                                                                                                                                                                                                                                          ","Fresas secas                                                                                                                                                                                                                                                    "
"503268                                                                                                                                                                                                                                                          ","Manzanas dulces secas                                                                                                                                                                                                                                           "
"503269                                                                                                                                                                                                                                                          ","Tamarillos secos                                                                                                                                                                                                                                                "
"503270                                                                                                                                                                                                                                                          ","Frutas Nominant secas                                                                                                                                                                                                                                           "
"503271                                                                                                                                                                                                                                                          ","Aronias secas                                                                                                                                                                                                                                                   "
"503272                                                                                                                                                                                                                                                          ","Aceitunas secas                                                                                                                                                                                                                                                 "
"503315                                                                                                                                                                                                                                                          ","Manzanas orgánicas secas                                                                                                                                                                                                                                        "
"503316                                                                                                                                                                                                                                                          ","Albaricoques orgánicos secos                                                                                                                                                                                                                                    "
"503317                                                                                                                                                                                                                                                          ","Bananos orgánicos secos                                                                                                                                                                                                                                         "
"503318                                                                                                                                                                                                                                                          ","Barberries orgánicos secos                                                                                                                                                                                                                                      "
"503319                                                                                                                                                                                                                                                          ","Gayubas orgánicas secas                                                                                                                                                                                                                                         "
"503320                                                                                                                                                                                                                                                          ","Moras orgánicas secas                                                                                                                                                                                                                                           "
"503321                                                                                                                                                                                                                                                          ","Arándanos de mirto orgánicos secos                                                                                                                                                                                                                              "
"503322                                                                                                                                                                                                                                                          ","Agrás orgánicas secas                                                                                                                                                                                                                                           "
"503323                                                                                                                                                                                                                                                          ","Frutas del pan orgánicas secas                                                                                                                                                                                                                                  "
"503324                                                                                                                                                                                                                                                          ","Chirimoyas orgánicas secas                                                                                                                                                                                                                                      "
"503325                                                                                                                                                                                                                                                          ","Cerezas orgánicas secas                                                                                                                                                                                                                                         "
"503326                                                                                                                                                                                                                                                          ","Citrones orgánicos secos                                                                                                                                                                                                                                        "
"503327                                                                                                                                                                                                                                                          ","Arándanos orgánicos secos                                                                                                                                                                                                                                       "
"503328                                                                                                                                                                                                                                                          ","pasas de Corinto orgánicas secas                                                                                                                                                                                                                                "
"503329                                                                                                                                                                                                                                                          ","Dátiles orgánicos secos                                                                                                                                                                                                                                         "
"503330                                                                                                                                                                                                                                                          ","Pitahayas orgánicas secas                                                                                                                                                                                                                                       "
"503331                                                                                                                                                                                                                                                          ","Brevas orgánicas secas                                                                                                                                                                                                                                          "
"503332                                                                                                                                                                                                                                                          ","Grosellas orgánicas secas                                                                                                                                                                                                                                       "
"503333                                                                                                                                                                                                                                                          ","Toronjas orgánicas secas                                                                                                                                                                                                                                        "
"503334                                                                                                                                                                                                                                                          ","Uvas de mesa orgánicas secas                                                                                                                                                                                                                                    "
"503335                                                                                                                                                                                                                                                          ","Uvas pasas orgánicas secas                                                                                                                                                                                                                                      "
"503336                                                                                                                                                                                                                                                          ","Uvas para vino orgánicas secas                                                                                                                                                                                                                                  "
"503337                                                                                                                                                                                                                                                          ","Guayabas orgánicas secas                                                                                                                                                                                                                                        "
"503338                                                                                                                                                                                                                                                          ","Arándanos Huckleberry orgánicos secos                                                                                                                                                                                                                           "
"503339                                                                                                                                                                                                                                                          ","Kiwis orgánicos secos                                                                                                                                                                                                                                           "
"503340                                                                                                                                                                                                                                                          ","Naranjos Chinos (kumquats) orgánicos secos                                                                                                                                                                                                                      "
"503341                                                                                                                                                                                                                                                          ","Limones orgánicos secos                                                                                                                                                                                                                                         "
"503342                                                                                                                                                                                                                                                          ","Limas orgánicas secas                                                                                                                                                                                                                                           "
"503343                                                                                                                                                                                                                                                          ","Nísperos orgánicos secos                                                                                                                                                                                                                                        "
"503344                                                                                                                                                                                                                                                          ","Mandarinas orgánicas secas                                                                                                                                                                                                                                      "
"503345                                                                                                                                                                                                                                                          ","Mangos orgánicos secos                                                                                                                                                                                                                                          "
"503346                                                                                                                                                                                                                                                          ","Melones orgánicos secos                                                                                                                                                                                                                                         "
"503347                                                                                                                                                                                                                                                          ","Moras mulberry orgánicas secas                                                                                                                                                                                                                                  "
"503348                                                                                                                                                                                                                                                          ","Mirtos orgánicos secos                                                                                                                                                                                                                                          "
"503349                                                                                                                                                                                                                                                          ","Nectarinas orgánicos secos                                                                                                                                                                                                                                      "
"503350                                                                                                                                                                                                                                                          ","Naranjas orgánicas secas                                                                                                                                                                                                                                        "
"503351                                                                                                                                                                                                                                                          ","Papayas orgánicas secas                                                                                                                                                                                                                                         "
"503352                                                                                                                                                                                                                                                          ","Maracuyás orgánicas secas                                                                                                                                                                                                                                       "
"503353                                                                                                                                                                                                                                                          ","Duraznos orgánicos secos                                                                                                                                                                                                                                        "
"503354                                                                                                                                                                                                                                                          ","Peras orgánicas secas                                                                                                                                                                                                                                           "
"503355                                                                                                                                                                                                                                                          ","Caquis orgánicos secos                                                                                                                                                                                                                                          "
"503356                                                                                                                                                                                                                                                          ","Piñas orgánicas secas                                                                                                                                                                                                                                           "
"503357                                                                                                                                                                                                                                                          ","Ciruelos Damascos orgánicos secos                                                                                                                                                                                                                               "
"503358                                                                                                                                                                                                                                                          ","Ciruelas orgánicas secas                                                                                                                                                                                                                                        "
"503359                                                                                                                                                                                                                                                          ","Granadas orgánicas secas                                                                                                                                                                                                                                        "
"503360                                                                                                                                                                                                                                                          ","Pomelos orgánicos secos                                                                                                                                                                                                                                         "
"503361                                                                                                                                                                                                                                                          ","Membrillos orgánicos secos                                                                                                                                                                                                                                      "
"503362                                                                                                                                                                                                                                                          ","Frambuesas orgánicas secas                                                                                                                                                                                                                                      "
"503363                                                                                                                                                                                                                                                          ","Ruibarbos orgánicos secos                                                                                                                                                                                                                                       "
"503364                                                                                                                                                                                                                                                          ","Escaramujos orgánicos secos                                                                                                                                                                                                                                     "
"503365                                                                                                                                                                                                                                                          ","Sapotes orgánicos secos                                                                                                                                                                                                                                         "
"503366                                                                                                                                                                                                                                                          ","Bayas saskatoon orgánicas secas                                                                                                                                                                                                                                 "
