"familia","nombre_familia"
"4616                                                                                                                                                                                                                                                            ","Seguridad y control público                                                                                                                                                                                                                                     "
"4617                                                                                                                                                                                                                                                            ","Seguridad, vigilancia y detección                                                                                                                                                                                                                               "
"4618                                                                                                                                                                                                                                                            ","Seguridad y protección personal                                                                                                                                                                                                                                 "
"4619                                                                                                                                                                                                                                                            ","Protección contra incendios                                                                                                                                                                                                                                     "
"4620                                                                                                                                                                                                                                                            ","Equipo de entrenamiento de seguridad física e industrial, defensa y orden público                                                                                                                                                                               "
"4710                                                                                                                                                                                                                                                            ","Tratamiento, suministros y eliminación de agua y aguas residuales                                                                                                                                                                                               "
"4711                                                                                                                                                                                                                                                            ","Equipo industrial de lavandería y lavado en seco                                                                                                                                                                                                                "
"4712                                                                                                                                                                                                                                                            ","Equipo de aseo                                                                                                                                                                                                                                                  "
"4713                                                                                                                                                                                                                                                            ","Suministros de aseo y limpieza                                                                                                                                                                                                                                  "
"4810                                                                                                                                                                                                                                                            ","Equipos de servicios de alimentación para instituciones                                                                                                                                                                                                         "
"4811                                                                                                                                                                                                                                                            ","Máquinas expendedoras                                                                                                                                                                                                                                           "
"4812                                                                                                                                                                                                                                                            ","Equipo de Juego o de Apostar                                                                                                                                                                                                                                    "
"4813                                                                                                                                                                                                                                                            ","Equipo y materiales funerarios                                                                                                                                                                                                                                  "
"4910                                                                                                                                                                                                                                                            ","Coleccionables y condecoraciones                                                                                                                                                                                                                                "
"4912                                                                                                                                                                                                                                                            ","Equipos y accesorios para acampada y exteriores                                                                                                                                                                                                                 "
"4913                                                                                                                                                                                                                                                            ","Equipos de pesca y caza                                                                                                                                                                                                                                         "
"4914                                                                                                                                                                                                                                                            ","Equipos para deportes acuáticos                                                                                                                                                                                                                                 "
"4915                                                                                                                                                                                                                                                            ","Equipos para deportes de invierno                                                                                                                                                                                                                               "
"4916                                                                                                                                                                                                                                                            ","Equipos deportivos para campos y canchas                                                                                                                                                                                                                        "
"4917                                                                                                                                                                                                                                                            ","Equipos de gimnasia y boxeo                                                                                                                                                                                                                                     "
"4918                                                                                                                                                                                                                                                            ","Juegos, equipo de tiro y mesa                                                                                                                                                                                                                                   "
"4920                                                                                                                                                                                                                                                            ","Equipo para entrenamiento físico                                                                                                                                                                                                                                "
"4921                                                                                                                                                                                                                                                            ","Otros deportes                                                                                                                                                                                                                                                  "
"4922                                                                                                                                                                                                                                                            ","Equipo  y accesorios para deportes                                                                                                                                                                                                                              "
"4924                                                                                                                                                                                                                                                            ","Equipo de recreo, parques infantiles y equipo y suministros de natación y de spa                                                                                                                                                                                "
"5010                                                                                                                                                                                                                                                            ","Frutos secos                                                                                                                                                                                                                                                    "
"5011                                                                                                                                                                                                                                                            ","Productos de carne y aves de corral                                                                                                                                                                                                                             "
"5012                                                                                                                                                                                                                                                            ","Pescados y mariscos                                                                                                                                                                                                                                             "
"5013                                                                                                                                                                                                                                                            ","Productos lácteos y huevos                                                                                                                                                                                                                                      "
"5015                                                                                                                                                                                                                                                            ","Aceites y grasas comestibles                                                                                                                                                                                                                                    "
"5016                                                                                                                                                                                                                                                            ","Chocolates, azúcares, edulcorantes y productos de confitería                                                                                                                                                                                                    "
"5017                                                                                                                                                                                                                                                            ","Condimentos y conservantes                                                                                                                                                                                                                                      "
"5018                                                                                                                                                                                                                                                            ","Productos de panadería                                                                                                                                                                                                                                          "
"5019                                                                                                                                                                                                                                                            ","Alimentos preparados y conservados                                                                                                                                                                                                                              "
"5020                                                                                                                                                                                                                                                            ","Bebidas                                                                                                                                                                                                                                                         "
"5021                                                                                                                                                                                                                                                            ","Tabaco y productos de fumar y substitutos                                                                                                                                                                                                                       "
"5022                                                                                                                                                                                                                                                            ","Productos de cereales y legumbres                                                                                                                                                                                                                               "
"5030                                                                                                                                                                                                                                                            ","Fruta fresca                                                                                                                                                                                                                                                    "
"5031                                                                                                                                                                                                                                                            ","Fruta orgánica fresca                                                                                                                                                                                                                                           "
"5032                                                                                                                                                                                                                                                            ","Fruta seca                                                                                                                                                                                                                                                      "
"5033                                                                                                                                                                                                                                                            ","Fruta orgánica seca                                                                                                                                                                                                                                             "
"5034                                                                                                                                                                                                                                                            ","Fruta congelada                                                                                                                                                                                                                                                 "
"5035                                                                                                                                                                                                                                                            ","Fruta orgánica congelada                                                                                                                                                                                                                                        "
"5036                                                                                                                                                                                                                                                            ","Fruta en lata o en frasco                                                                                                                                                                                                                                       "
"5037                                                                                                                                                                                                                                                            ","Fruta orgánica en lata o en frasco                                                                                                                                                                                                                              "
"5038                                                                                                                                                                                                                                                            ","Puré de frutas                                                                                                                                                                                                                                                  "
"5040                                                                                                                                                                                                                                                            ","Vegetales frescos                                                                                                                                                                                                                                               "
"5041                                                                                                                                                                                                                                                            ","Vegetales orgánicos frescos                                                                                                                                                                                                                                     "
"5042                                                                                                                                                                                                                                                            ","Vegetales secos                                                                                                                                                                                                                                                 "
"5043                                                                                                                                                                                                                                                            ","Vegetales orgánicos secos                                                                                                                                                                                                                                       "
"5044                                                                                                                                                                                                                                                            ","Vegetales congelados                                                                                                                                                                                                                                            "
"5045                                                                                                                                                                                                                                                            ","Vegetales orgánicos congelados                                                                                                                                                                                                                                  "
"5046                                                                                                                                                                                                                                                            ","Vegetales en lata o en frasco                                                                                                                                                                                                                                   "
"5047                                                                                                                                                                                                                                                            ","Vegetales orgánicos en lata o en frasco                                                                                                                                                                                                                         "
"5110                                                                                                                                                                                                                                                            ","Medicamentos antiinfecciosos                                                                                                                                                                                                                                    "
"5111                                                                                                                                                                                                                                                            ","Agentes antitumorales                                                                                                                                                                                                                                           "
"5112                                                                                                                                                                                                                                                            ","Medicamentos cardiovasculares                                                                                                                                                                                                                                   "
"5113                                                                                                                                                                                                                                                            ","Medicamentos hematólogos                                                                                                                                                                                                                                        "
"5114                                                                                                                                                                                                                                                            ","Medicamentos para el sistema nervioso central                                                                                                                                                                                                                   "
"5115                                                                                                                                                                                                                                                            ","Medicamentos para el sistema nervioso autónomo                                                                                                                                                                                                                  "
"5116                                                                                                                                                                                                                                                            ","Medicamentos que afectan al sistema respiratorio                                                                                                                                                                                                                "
"5117                                                                                                                                                                                                                                                            ","Medicamentos que afectan al sistema gastrointestinal                                                                                                                                                                                                            "
"5118                                                                                                                                                                                                                                                            ","Hormonas y antagonistas hormonales                                                                                                                                                                                                                              "
"5119                                                                                                                                                                                                                                                            ","Agentes que afectan el agua y los electrolitos                                                                                                                                                                                                                  "
"5120                                                                                                                                                                                                                                                            ","Medicamentos inmunomoduladores                                                                                                                                                                                                                                  "
"5121                                                                                                                                                                                                                                                            ","Categorías de medicamentos varios                                                                                                                                                                                                                               "
"5124                                                                                                                                                                                                                                                            ","Fármacos que afectan a los oídos, los ojos, la nariz y la piel                                                                                                                                                                                                  "
"5125                                                                                                                                                                                                                                                            ","Suplementos alimenticios veterinarios                                                                                                                                                                                                                           "
"5210                                                                                                                                                                                                                                                            ","Revestimientos de suelos                                                                                                                                                                                                                                        "
"5212                                                                                                                                                                                                                                                            ","Ropa de cama, mantelerías, paños de cocina y toallas                                                                                                                                                                                                            "
"5213                                                                                                                                                                                                                                                            ","Tratamientos de ventanas                                                                                                                                                                                                                                        "
"5214                                                                                                                                                                                                                                                            ","Aparatos electrodomésticos                                                                                                                                                                                                                                      "
"5215                                                                                                                                                                                                                                                            ","Utensilios de cocina domésticos                                                                                                                                                                                                                                 "
"5216                                                                                                                                                                                                                                                            ","Electrónica de consumo                                                                                                                                                                                                                                          "
"5217                                                                                                                                                                                                                                                            ","Tratamientos de pared doméstica                                                                                                                                                                                                                                 "
"5310                                                                                                                                                                                                                                                            ","Ropa                                                                                                                                                                                                                                                            "
"5311                                                                                                                                                                                                                                                            ","Calzado                                                                                                                                                                                                                                                         "
"5312                                                                                                                                                                                                                                                            ","Maletas, bolsos de mano, mochilas y estuches                                                                                                                                                                                                                    "
"5313                                                                                                                                                                                                                                                            ","Artículos de tocador y cuidado personal                                                                                                                                                                                                                         "
"5314                                                                                                                                                                                                                                                            ","Fuentes y accesorios de costura                                                                                                                                                                                                                                 "
"5410                                                                                                                                                                                                                                                            ","Joyería                                                                                                                                                                                                                                                         "
"5411                                                                                                                                                                                                                                                            ","Relojes                                                                                                                                                                                                                                                         "
"5412                                                                                                                                                                                                                                                            ","Gemas                                                                                                                                                                                                                                                           "
"5510                                                                                                                                                                                                                                                            ","Medios impresos                                                                                                                                                                                                                                                 "
"5511                                                                                                                                                                                                                                                            ","Material electrónico de referencia                                                                                                                                                                                                                              "
"5512                                                                                                                                                                                                                                                            ","Etiquetado y accesorios                                                                                                                                                                                                                                         "
"5610                                                                                                                                                                                                                                                            ","Muebles de alojamiento                                                                                                                                                                                                                                          "
